Chi Lin Rd, Diamond Hill	chi lin rd, diamond hill	1.0
9 Justice Drive, Admiralty	9 justice drive, admiralty	1.0
University Avenue, Sha Tin	university avenue, sha tin	1.0
No.133 Junction Road	no.133 junction road	1.0
Hong Kong Macau Ferry Terminal	hong kong macau ferry terminal	1.0
15-18 Connaught Road, 3rd Floor, Grand Building	15-18 connaught road, 3rd floor, grand building	1.0
No.1 Yuen Wo Road, Sha Tin, N.T.	no.1 yuen wo road, sha tin, n.t.	1.0
Tsing Yi Island	tsing yi island	1.0
68 Hoi Yuen Road, Kwun Tong	68 hoi yuen road, kwun tong	1.0
Tsim Sha Tsui East Waterfront Podium Garden	tsim sha tsui east waterfront podium garden	1.0
No.1 Yuen Wo Road, Sha Tin	no.1 yuen wo road, sha tin	1.0
75 Chai Wan Road	75 chai wan road	1.0
2 Harbour Road, Wanchai	2 harbour road, wanchai	1.0
18 Oi Kwan Road, Wanchai	18 oi kwan road, wanchai	1.0
13 Fuk Sau Lane, Sai Ying Pun Next to Organic Restaurant 'Locofama'	13 fuk sau lane, sai ying pun next to organic restaurant 'locofama'	1.0
100 Chatham Rd S, Tsim Sha Tsui East, Kowloon	100 chatham rd s, tsim sha tsui east, kowloon	1.0
Tai Po	tai po	1.0
Aberdeen Reservoir Road	aberdeen reservoir road	1.0
Harbour Road, Wan Chai District, Hong Kong Island	harbour road, wan chai district, hong kong island	1.0
Shop 061, Level 6, Sky Plaza, Hong Kong International Airport	shop 061, level 6, sky plaza, hong kong international airport	1.0
13 Shung Tak Street, Tai Po Market, Tai Po	13 shung tak street, tai po market, tai po	1.0
No.9 Cheung Yee Street, Lai Chi Kok, Kowloon	no.9 cheung yee street, lai chi kok, kowloon	1.0
Harcourt Road, Admiralty	harcourt road, admiralty	1.0
Kam Tin	kam tin	1.0
No.18 Castle Peak Road, Tuen Mun	no.18 castle peak road, tuen mun	1.0
2B, Yan King Court, 119-121 Queen's Road East, Wanchai	2b, yan king court, 119-121 queen's road east, wanchai	1.0
Tsim Sha Tsui	tsim sha tsui	1.0
33 Tao Fong Shan Road	33 tao fong shan road	1.0
Kowloon District	kowloon district	1.0
No.138 Nathan Road, Tsim Sha Tsui, Kowloon	no.138 nathan road, tsim sha tsui, kowloon	1.0
Sai Kung District New Territories East	sai kung district new territories east	1.0
No.2 Lee Wing Street, South Horizons, Ap Lei Chau, Hong Kong Island	no.2 lee wing street, south horizons, ap lei chau, hong kong island	1.0
1 Sky Plaza Rd, Chek Lap Kok Level 6, Departures Level, Terminal 1, Hong Kong International Airport (Near Gate 1)	1 sky plaza rd, chek lap kok level 6, departures level, terminal 1, hong kong international airport (near gate 1)	1.0
No.33 Canton Road, Tsim Sha Tsui, Kowloon	no.33 canton road, tsim sha tsui, kowloon	1.0
No.1 Hing Fat Street, Causeway Bay Victoria Park	no.1 hing fat street, causeway bay victoria park	1.0
No.10 Salisbury Road Yau Tsim Mong District, Kowloon	no.10 salisbury road yau tsim mong district, kowloon	1.0
Sai Kung	sai kung	1.0
1 Expo Drive,Wan Chai Hong Kong Convention and Exhibition Centre, Hall 1	1 expo drive,wan chai hong kong convention and exhibition centre, hall 1	1.0
Albany Road	albany road	1.0
No.10, Chater Road, Central	no.10, chater road, central	1.0
Tuen Mun Heung Sze Wui Road	tuen mun heung sze wui road	1.0
South of Hollywood Road	south of hollywood road	1.0
100 Cyberport Road 100 Cyberport Road	100 cyberport road 100 cyberport road	1.0
Man Yee Road south end of the High Island Reservoir East Dam	man yee road south end of the high island reservoir east dam	1.0
23 Carmel Road	23 carmel road	1.0
Clear Water Bay, New Territories	clear water bay, new territories	1.0
66 Causeway Road	66 causeway road	1.0
No.193 Prince Edward Road West	no.193 prince edward road west	1.0
International Airport Terminal 2nd Phase	international airport terminal 2nd phase	1.0
Macau Taipa Ferry Terminal	macau taipa ferry terminal	1.0
No. 2A Canton Road, Tsim Sha Tsui, Kowloon	no. 2a canton road, tsim sha tsui, kowloon	1.0
Wetland Park Road, Tin Shui Wai	wetland park road, tin shui wai	1.0
Hong Kong Park, Central District Central District	hong kong park, central district central district	1.0
The New Territories	the new territories	1.0
33 Wai Yip Street, Kowloon Bay	33 wai yip street, kowloon bay	1.0
No.60 Fung Tak Road, Diamond Hill	no.60 fung tak road, diamond hill	1.0
Level 6, Terminal 2, Hong Kong International Airport	level 6, terminal 2, hong kong international airport	1.0
West of the District, Yuanlang District	west of the district, yuanlang district	1.0
1 Matheson Street Causeway Bay	1 matheson street causeway bay	1.0
33 Pak Yan Road, Ma Wan, New Territories	33 pak yan road, ma wan, new territories	1.0
1 Shatin Station Circuit, Shatin, N.T	1 shatin station circuit, shatin, n.t	1.0
232 Hollywood Road	232 hollywood road	1.0
Hong Kong China	hong kong china	1.0
Canton Road, Tsim Sha Tsui, Kowloon	canton road, tsim sha tsui, kowloon	1.0
Central MTR Exit K	central mtr exit k	1.0
10 Cotton Tree Dr. at park entrance, Central	10 cotton tree dr. at park entrance, central	1.0
Pok Fu Lam Road	pok fu lam road	1.0
Che Kung Miu Road	che kung miu road	1.0
Tonkin St	tonkin st	1.0
Sai Kung District, New Territories East Upper Floor, East Garden Plaza, Section A, 66 Yi Chun Street, Sai Kung, New Territories	sai kung district, new territories east upper floor, east garden plaza, section a, 66 yi chun street, sai kung, new territories	1.0
No. 1 Tramway Path	no. 1 tramway path	1.0
11 Tat Tung Road, Tung Chung, Lantau Island	11 tat tung road, tung chung, lantau island	1.0
Southeast of Youtang, Kwun Tong District	southeast of youtang, kwun tong district	1.0
70 Robinson Road	70 robinson road	1.0
18 Tai Koo Shing Road, Taikoo Shing	18 tai koo shing road, taikoo shing	1.0
F1-2,Langham Place, Portland Street, Mongkok	f1-2,langham place, portland street, mongkok	1.0
Landmark, 15 Queen's Road Central	landmark, 15 queen's road central	1.0
1 Austin Road West, Kowloon, 100/F, International Commerce Centre	1 austin road west, kowloon, 100/f, international commerce centre	1.0
Stone Nullah Lane	stone nullah lane	1.0
Tam Kung Temple Road	tam kung temple road	1.0
No., 35 Upper Village, Ma On Shan Village	no., 35 upper village, ma on shan village	1.0
No. 100, Kwai Cheong Road, Kwai Chung, New Territories	no. 100, kwai cheong road, kwai chung, new territories	1.0
No.2 Science Museum Road, Tsim Sha Tsui East, Kowloon	no.2 science museum road, tsim sha tsui east, kowloon	1.0
1 Passenger Terminal Building, Hong Kong International Airport	1 passenger terminal building, hong kong international airport	1.0
36 Nathan Road Tsim Sha Tsui	36 nathan road tsim sha tsui	1.0
2 Caine Lane Mid Levels, Sheung Wan	2 caine lane mid levels, sheung wan	1.0
Island House Lane, Tai Po, New Territories Island House Conservation Studies Centre	island house lane, tai po, new territories island house conservation studies centre	1.0
Argyle Street, Yau Tsim Mong District, Kowloon Kowloon	argyle street, yau tsim mong district, kowloon kowloon	1.0
No.6 Metropolis Drive, Hunghom, Kowloon	no.6 metropolis drive, hunghom, kowloon	1.0
Ap Lel Chau, Nan District	ap lel chau, nan district	1.0
118-130 & 132 Nathan Road	118-130 & 132 nathan road	1.0
No.1 Gangjing Street, Central	no.1 gangjing street, central	1.0
No.124-126 Hollywood Rd, Central	no.124-126 hollywood rd, central	1.0
175 Tung Hei Rd, Shau Kei Wan	175 tung hei rd, shau kei wan	1.0
Victoria Park, Causeway Bay	victoria park, causeway bay	1.0
No.10 Hollywood Road	no.10 hollywood road	1.0
233 Chai Wan Road	233 chai wan road	1.0
Junction of Junction Road and Tung Tau Tsuen Road, Kowloon City, Kowloon	junction of junction road and tung tau tsuen road, kowloon city, kowloon	1.0
20 Tat Tung Road	20 tat tung road	1.0
No.1046 King's Road, Quarry Bay Yick Cheong Building	no.1046 king's road, quarry bay yick cheong building	1.0
UG-21, Festival Walk 80 Tat Chee Avenue, Kowloon Tong	ug-21, festival walk 80 tat chee avenue, kowloon tong	1.0
