This exotic market is also a place where locals bring their own pet birds for airings.	this exotic market is also a place where locals bring their own pet birds for airings.	1.0
The Science Museum offers more than 500 exhibits, most of which are interactive to encourage exploration. With all the hands-on and engaging activities, it's the perfect way to spend an rainy day with the kids.	the science museum offers more than 500 exhibits, most of which are interactive to encourage exploration. with all the hands-on and engaging activities, it's the perfect way to spend an rainy day with the kids.	1.0
Fa Yuen Street, known as Sneaker Street, is where hip kids get the latest sports shoes. Find big brands like Adidas and Nike plus boutiques with niche brands, limited editions, and bespoke creations.	fa yuen street, known as sneaker street, is where hip kids get the latest sports shoes. find big brands like adidas and nike plus boutiques with niche brands, limited editions, and bespoke creations.	1.0
This convention center is known for the Golden Bauhinia statue in front of it, a symbol of Hong Kong's independence from the British.	this convention center is known for the golden bauhinia statue in front of it, a symbol of hong kong's independence from the british.	1.0
The traditional Chinese calendar follows a lunar cycle, and the Lunar New Year, falling sometime between mid-January to the end of February, is considered by Chinese to be the "real" new year. Hong Kong's Lunar New Year celebration is one of the most vibrant with fireworks, traditional lion dances, parades, red lanterns and auspicious foods strewn across the whole city. It is also traditional to walk the flower markets and buy gifts for the household during the final hours of new year's eve, and these markets are a sight to behold.	the traditional chinese calendar follows a lunar cycle, and the lunar new year, falling sometime between mid-january to the end of february, is considered by chinese to be the "real" new year. hong kong's lunar new year celebration is one of the most vibrant with fireworks, traditional lion dances, parades, red lanterns and auspicious foods strewn across the whole city. it is also traditional to walk the flower markets and buy gifts for the household during the final hours of new year's eve, and these markets are a sight to behold.	1.0
At Hysan Place, hipness is no longer just for the fashion elite. Located at the heart of Causeway Bay with direct access to the MTR station, Hysan Place showcases an enviable selection of nearly 120 most sought-after international brand boutiques spanning over 17 floors. It’s a place for you to hang out, have fun, and share unforgettable shopping experiences with your friends. Enjoy the generous high ceiling with open shop fronts, stroll along the atrium sprinkled with natural light via the huge central skylight, or linger at the Sky Garden with lush greenery.	at hysan place, hipness is no longer just for the fashion elite. located at the heart of causeway bay with direct access to the mtr station, hysan place showcases an enviable selection of nearly 120 most sought-after international brand boutiques spanning over 17 floors. it’s a place for you to hang out, have fun, and share unforgettable shopping experiences with your friends. enjoy the generous high ceiling with open shop fronts, stroll along the atrium sprinkled with natural light via the huge central skylight, or linger at the sky garden with lush greenery.	1.0
Ngong Ping Cable Car - the gateway to start your Lantau adventure in Hong Kong! Ngong Ping Cable Car connects downtown Tung Chung and Ngong Ping on Lantau Island. Adopting a safe and reliable bi-cable ropeway, the cable car is first-of-its-kind in Hong Kong. The journey begins from Tung Chung, crossing Tung Chung Bay to reach the angle station on Airport Island and turning 60 degrees towards North Lantau. You will be greeted with the vistas of the distant and vast South China Sea and the rolling greens of North Lantau Country Park. At the comfort of the cabin, enjoy the breathtaking panorama of the Hong Kong International Airport, verdant, mountainous terrain of Lantau Island, the Big Buddha and the 360-degree view of Ngong Ping Plateau.	ngong ping cable car - the gateway to start your lantau adventure in hong kong! ngong ping cable car connects downtown tung chung and ngong ping on lantau island. adopting a safe and reliable bi-cable ropeway, the cable car is first-of-its-kind in hong kong. the journey begins from tung chung, crossing tung chung bay to reach the angle station on airport island and turning 60 degrees towards north lantau. you will be greeted with the vistas of the distant and vast south china sea and the rolling greens of north lantau country park. at the comfort of the cabin, enjoy the breathtaking panorama of the hong kong international airport, verdant, mountainous terrain of lantau island, the big buddha and the 360-degree view of ngong ping plateau.	1.0
Shop high-end, flagship, and concept stores at this mall in the International Finance Centre. IFC has more than 200 stores plus extras like free candy and balloons for kids at the concierge desk.	shop high-end, flagship, and concept stores at this mall in the international finance centre. ifc has more than 200 stores plus extras like free candy and balloons for kids at the concierge desk.	1.0
Old rural walled village that has been turned into a museum	old rural walled village that has been turned into a museum	1.0
Forget all the museums you have ever been to. Trick Eye Museum features jaw-dropping 3D experiences. Come and check us out!	forget all the museums you have ever been to. trick eye museum features jaw-dropping 3d experiences. come and check us out!	1.0
Located in Central, our Visitor Centre is our gateway in town for people who want to learn more about our work in person. It also houses the Panda Shop, which sells a collection of eco-products and incorporates green office strategies. Get information here on booking WWF eco visits , sign up for free membership and discounts on sustainable products.	located in central, our visitor centre is our gateway in town for people who want to learn more about our work in person. it also houses the panda shop, which sells a collection of eco-products and incorporates green office strategies. get information here on booking wwf eco visits , sign up for free membership and discounts on sustainable products.	1.0
