North District	north district	1.0
Kowloon Tong	kowloon tong	1.0
Lei King Wan	lei king wan	1.0
Mid Levels	mid levels	1.0
South Horizons	south horizons	1.0
Islands District	islands district	1.0
Tai Koo Shing East	tai koo shing east	1.0
Tuen Mun	tuen mun	1.0
Ma On Shan	ma on shan	1.0
Tai Po	tai po	1.0
Western District	western district	1.0
A Kung Ngam	a kung ngam	1.0
Hennessy Road	hennessy road	1.0
City Garden	city garden	1.0
Ap Lei Chau Estate	ap lei chau estate	1.0
Kowloon City District	kowloon city district	1.0
Hong Kong Island	hong kong island	1.0
Sai Ying Pun	sai ying pun	1.0
Aberdeen	aberdeen	1.0
Tsim Sha Tsui	tsim sha tsui	1.0
Stanley	stanley	1.0
Lamma Island	lamma island	1.0
Water Street	water street	1.0
Sham Shui Po District	sham shui po district	1.0
Lai Chi Kok	lai chi kok	1.0
Tsuen Wan West	tsuen wan west	1.0
Sai Kung	sai kung	1.0
Jordan and Yau Ma Tei	jordan and yau ma tei	1.0
Sheung Wan	sheung wan	1.0
Discovery Bay	discovery bay	1.0
Tseung Kwan O	tseung kwan o	1.0
Austin	austin	1.0
Fortress Hill	fortress hill	1.0
Victoria Park	victoria park	1.0
Wong Tai Sin District	wong tai sin district	1.0
Kennedy Town & Mount Davis	kennedy town & mount davis	1.0
Peak	peak	1.0
Jordan / Yau Ma Tei	jordan / yau ma tei	1.0
Western (Sai Wan)	western (sai wan)	1.0
North Point	north point	1.0
Bays Area	bays area	1.0
Lei Cheng Uk	lei cheng uk	1.0
Tai Koo Shing West	tai koo shing west	1.0
New Territories	new territories	1.0
Whampoa	whampoa	1.0
Canal Road	canal road	1.0
Olympic	olympic	1.0
University	university	1.0
Kwun Tong	kwun tong	1.0
Lantau Island	lantau island	1.0
Happy Valley	happy valley	1.0
Kwai Tsing	kwai tsing	1.0
Nam Cheong	nam cheong	1.0
Southorn Playground	southorn playground	1.0
Tai Fat Hau	tai fat hau	1.0
Ping Shan	ping shan	1.0
Mong Kok	mong kok	1.0
Sha Tin	sha tin	1.0
Wan Chai and Causeway Bay	wan chai and causeway bay	1.0
Shek Tong Tsui	shek tong tsui	1.0
TST	tst	1.0
Central District	central district	1.0
Kowloon	kowloon	1.0
Central	central	1.0
Southern District	southern district	1.0
Tsing Yi	tsing yi	1.0
Eastern District	eastern district	1.0
Wan Chai / Causeway Bay	wan chai / causeway bay	1.0
Yau Tsim Mong District	yau tsim mong district	1.0
Wong Chuk Hang	wong chuk hang	1.0
Tung Chung	tung chung	1.0
Tsuen Wan	tsuen wan	1.0
Tai Po Hui	tai po hui	1.0
Cheung Chau	cheung chau	1.0
Yuen Long	yuen long	1.0
Kwai Fong	kwai fong	1.0
Hung Hom Bay	hung hom bay	1.0
Pok Fu Lam	pok fu lam	1.0
Kwun Tong District	kwun tong district	1.0
TKO	tko	1.0
Kennedy Town and Mount Davis	kennedy town and mount davis	1.0
Kowloon Bay	kowloon bay	1.0
