Sun Museum	sun museum	1.0
The Hong Kong University of Science and Technology	the hong kong university of science and technology	1.0
Chinese Goods Centre	chinese goods centre	1.0
Gagosian Gallery	gagosian gallery	1.0
Hong Kong Flower Show	hong kong flower show	1.0
Uptown Plaza	uptown plaza	1.0
HKIA No.1 Passenger Terminal Building Shopping Area	hkia no.1 passenger terminal building shopping area	1.0
The Hong Kong Catholic Cathedral of The Immaculate Conception	the hong kong catholic cathedral of the immaculate conception	1.0
Telford Plaza	telford plaza	1.0
Sai Kung Street Market	sai kung street market	1.0
Victoria Peak (The Peak)	victoria peak (the peak)	1.0
Ap Lei Chau Bridge	ap lei chau bridge	1.0
Lee Garden One to Six	lee garden one to six	1.0
Sam Tung Uk Museum	sam tung uk museum	1.0
Ching Chung Koon	ching chung koon	1.0
Lamma Fisherfolk's Village	lamma fisherfolk's village	1.0
Tai Kwun	tai kwun	1.0
Madame Tussauds Hong Kong	madame tussauds hong kong	1.0
Hong Kong Maritime Museum	hong kong maritime museum	1.0
Tao Fung Shan Christian Centre	tao fung shan christian centre	1.0
Tam Kung Temple	tam kung temple	1.0
Lei Yue Mun Park and Holiday Village	lei yue mun park and holiday village	1.0
Chinese-British Street History Museum	chinese-british street history museum	1.0
Cattle Depot Artist Village	cattle depot artist village	1.0
Prada Outlet (Space)	prada outlet (space)	1.0
M+ Pavilion	m+ pavilion	1.0
The Sun  Arcade	the sun  arcade	1.0
Silvercord	silvercord	1.0
Hong Kong Qingshan Temple	hong kong qingshan temple	1.0
Yuen Long Plaza	yuen long plaza	1.0
Hong Kong Museum of Medical Sciences	hong kong museum of medical sciences	1.0
Murray House	murray house	1.0
Dr Sun Yat Sen Museum	dr sun yat sen museum	1.0
Western Monastery	western monastery	1.0
Tsim Sha Tsui	tsim sha tsui	1.0
Kowloon Park	kowloon park	1.0
Hong Kong Tourism Board, Hong Kong Island  Visitor Centre	hong kong tourism board, hong kong island  visitor centre	1.0
Hong Kong Railway Museum	hong kong railway museum	1.0
Avenue of the Stars	avenue of the stars	1.0
Hong Kong Arts Centre	hong kong arts centre	1.0
Grand Plaza	grand plaza	1.0
Hong Kong Zoological and Botanical Gardens	hong kong zoological and botanical gardens	1.0
The Chinese University of Hong Kong	the chinese university of hong kong	1.0
Western Market	western market	1.0
Horizon Plaza	horizon plaza	1.0
Aberdeen Country Park	aberdeen country park	1.0
Sha Tin Town Hall	sha tin town hall	1.0
Che Kung Temple	che kung temple	1.0
Yaumatei	yaumatei	1.0
Peak Tram Fast-Track Guided Tour	peak tram fast-track guided tour	1.0
Sai Kung	sai kung	1.0
Temple Street Night Market	temple street night market	1.0
Aviation Discovery Centre	aviation discovery centre	1.0
Wan Chai Post Office	wan chai post office	1.0
Stanley Market	stanley market	1.0
Kadoorie Farm and Botanical Gardens	kadoorie farm and botanical gardens	1.0
Fireboat Alexander Grantham Exhibition Gallery	fireboat alexander grantham exhibition gallery	1.0
Hong Kong Trams Station Museum	hong kong trams station museum	1.0
St. Margaret's Church	st. margaret's church	1.0
Hong Kong Sneakers Street	hong kong sneakers street	1.0
Yue Hwa Department Store	yue hwa department store	1.0
PopCorn	popcorn	1.0
Yat Tung Shopping Centre	yat tung shopping centre	1.0
Citylink Plaza	citylink plaza	1.0
Discovery Bay	discovery bay	1.0
Bird Street	bird street	1.0
The University of Hong Kong	the university of hong kong	1.0
Hong Kong Monetary Authority	hong kong monetary authority	1.0
Tuen Mun Park	tuen mun park	1.0
