Airport	airport	1.0
Wu Kai Sha	wu kai sha	1.0
North District	north district	1.0
Cyberport	cyberport	1.0
Sai Wan Ho	sai wan ho	1.0
Tung Chung West	tung chung west	1.0
Lo Wu	lo wu	1.0
Kowloon Tong	kowloon tong	1.0
Tin Shui Wai	tin shui wai	1.0
Kai Tak	kai tak	1.0
Disneyland Resort	disneyland resort	1.0
Mid Levels	mid levels	1.0
South Horizons	south horizons	1.0
Islands District	islands district	1.0
Shun Tin	shun tin	1.0
Tuen Mun	tuen mun	1.0
Ma On Shan	ma on shan	1.0
Tai Po	tai po	1.0
Western District	western district	1.0
HKU	hku	1.0
Dongmen	dongmen	1.0
Hennessy Road	hennessy road	1.0
City Garden	city garden	1.0
Stubbs Road	stubbs road	1.0
Kowloon City District	kowloon city district	1.0
Lam Tin	lam tin	1.0
Hong Kong Island	hong kong island	1.0
Tung Chung East	tung chung east	1.0
Sai Ying Pun	sai ying pun	1.0
Aberdeen	aberdeen	1.0
Sheung Shui	sheung shui	1.0
Ho Man Tin	ho man tin	1.0
Tsim Sha Tsui	tsim sha tsui	1.0
Stanley	stanley	1.0
Lamma Island	lamma island	1.0
Water Street	water street	1.0
Lai King	lai king	1.0
Sham Shui Po District	sham shui po district	1.0
Choi Hung	choi hung	1.0
Lai Chi Kok	lai chi kok	1.0
Quarry Bay	quarry bay	1.0
LOHAS Park	lohas park	1.0
Tsuen Wan West	tsuen wan west	1.0
Che Kung Temple	che kung temple	1.0
Tai Wai	tai wai	1.0
Sai Kung	sai kung	1.0
Tai Kok Tsui	tai kok tsui	1.0
Hung Shui Kiu	hung shui kiu	1.0
Wah Fu	wah fu	1.0
Jordan and Yau Ma Tei	jordan and yau ma tei	1.0
Tai Hang	tai hang	1.0
Sheung Wan	sheung wan	1.0
Racecourse	racecourse	1.0
Cheung Sha Wan	cheung sha wan	1.0
Choi Wan	choi wan	1.0
Tai Po Market	tai po market	1.0
Discovery Bay	discovery bay	1.0
Tseung Kwan O	tseung kwan o	1.0
Sunny Bay	sunny bay	1.0
Yau Tong	yau tong	1.0
Luohu Port	luohu port	1.0
Kwu Tung	kwu tung	1.0
Tuen Men South	tuen men south	1.0
Austin	austin	1.0
Huaqiang North	huaqiang north	1.0
Fortress Hill	fortress hill	1.0
To Kwa Wan	to kwa wan	1.0
Victoria Park	victoria park	1.0
Wong Tai Sin	wong tai sin	1.0
Wong Tai Sin District	wong tai sin district	1.0
Kennedy Town & Mount Davis	kennedy town & mount davis	1.0
Peak	peak	1.0
Jordan / Yau Ma Tei	jordan / yau ma tei	1.0
Heng Fa Chuen	heng fa chuen	1.0
North Point	north point	1.0
Western (Sai Wan)	western (sai wan)	1.0
Bays Area	bays area	1.0
Ngau Tau Kok	ngau tau kok	1.0
Kennedy Town	kennedy town	1.0
Kam Sheung Road	kam sheung road	1.0
Kwai Hing	kwai hing	1.0
Queen Mary Hospital	queen mary hospital	1.0
Tai Wo Hau	tai wo hau	1.0
Tai Koo Shing West	tai koo shing west	1.0
New Territories	new territories	1.0
Fanling	fanling	1.0
Lok Fu	lok fu	1.0
Po Lam	po lam	1.0
Whampoa	whampoa	1.0
City One	city one	1.0
Shek Mun	shek mun	1.0
Canal Road	canal road	1.0
Siu Hong	siu hong	1.0
AsiaWorld-Expo	asiaworld-expo	1.0
Belcher	belcher	1.0
Olympic	olympic	1.0
Tiu Keng Leng	tiu keng leng	1.0
University	university	1.0
Kwun Tong	kwun tong	1.0
Tin Hau	tin hau	1.0
Lantau Island	lantau island	1.0
Diamond Hill	diamond hill	1.0
Happy Valley	happy valley	1.0
Ocean Park	ocean park	1.0
Shek Kip Mei	shek kip mei	1.0
Kwai Tsing	kwai tsing	1.0
Jordon	jordon	1.0
Nam Cheong	nam cheong	1.0
Southorn Playground	southorn playground	1.0
Hong Kong	hong kong	1.0
Lei Tung	lei tung	1.0
Tai Fat Hau	tai fat hau	1.0
Tuen Men	tuen men	1.0
