11.32 HKD	11.32 hkd	1.0
13.08 HKD	13.08 hkd	1.0
13.96 HKD	13.96 hkd	1.0
23.64 HKD	23.64 hkd	1.0
8.68 HKD	8.68 hkd	1.0
7.8 HKD	7.8 hkd	1.0
19.24 HKD	19.24 hkd	1.0
20.12 HKD	20.12 hkd	1.0
15.72 HKD	15.72 hkd	1.0
6.92 HKD	6.92 hkd	1.0
21.88 HKD	21.88 hkd	1.0
21.0 HKD	21.0 hkd	1.0
6.04 HKD	6.04 hkd	1.0
12.2 HKD	12.2 hkd	1.0
17.48 HKD	17.48 hkd	1.0
16.6 HKD	16.6 hkd	1.0
22.76 HKD	22.76 hkd	1.0
5.16 HKD	5.16 hkd	1.0
14.84 HKD	14.84 hkd	1.0
10.44 HKD	10.44 hkd	1.0
24.52 HKD	24.52 hkd	1.0
9.56 HKD	9.56 hkd	1.0
18.36 HKD	18.36 hkd	1.0
