Venetian Hostel	venetian hostel	1.0
Fei Hong Hotel	fei hong hotel	1.0
Shama Hollywood Hong Kong	shama hollywood hong kong	1.0
Joyous Guest House	joyous guest house	1.0
Dhillon Hotel	dhillon hotel	1.0
The Salisbury-YMCA of Hong Kong	the salisbury-ymca of hong kong	1.0
Shamrock Hotel	shamrock hotel	1.0
Osaka Hostel	osaka hostel	1.0
Two MacDonnell Road	two macdonnell road	1.0
Homy Hotel Central	homy hotel central	1.0
L'etoile de Mer - Hostel	l'etoile de mer - hostel	1.0
iclub Fortress Hill Hotel	iclub fortress hill hotel	1.0
Tai O Heritage Hotel	tai o heritage hotel	1.0
Park Guest House	park guest house	1.0
Hong Kong Hostel	hong kong hostel	1.0
Mier Serviced Apartments	mier serviced apartments	1.0
Asia Inn	asia inn	1.0
Hung Kiu Guesthouse	hung kiu guesthouse	1.0
L'hotel Nina et Convention Centre	l'hotel nina et convention centre	1.0
Rambler Oasis Hotel	rambler oasis hotel	1.0
Ring Wood Guest House	ring wood guest house	1.0
ColorZ Hostel	colorz hostel	1.0
Knight on Wyndham Serviced Residence	knight on wyndham serviced residence	1.0
Beverly Guest House	beverly guest house	1.0
Dragon Inn	dragon inn	1.0
Garden View Hong Kong	garden view hong kong	1.0
Kwong Hang Travel Guesthouse	kwong hang travel guesthouse	1.0
Pandora After 80s	pandora after 80s	1.0
Nuts Hotel	nuts hotel	1.0
Bridal Tea House Hotel Yau Ma Tei	bridal tea house hotel yau ma tei	1.0
The Sheung Wan by Ovolo	the sheung wan by ovolo	1.0
Le Prabelle Hotel	le prabelle hotel	1.0
Casa Deluxe Hotel	casa deluxe hotel	1.0
Royal Park Hotel	royal park hotel	1.0
Stanford Hotel Hong Kong	stanford hotel hong kong	1.0
Xi Hotel	xi hotel	1.0
Best Western Plus Hotel Hong Kong	best western plus hotel hong kong	1.0
Holiday Inn Express Hong Kong Causeway Bay	holiday inn express hong kong causeway bay	1.0
CAA Holy Sun Hotel	caa holy sun hotel	1.0
InnSight	innsight	1.0
M1 Hotel	m1 hotel	1.0
H1 Hotel	h1 hotel	1.0
Hong Kong Budget Hostel	hong kong budget hostel	1.0
Xihu Hotel	xihu hotel	1.0
Travelodge Central Hollywood Road	travelodge central hollywood road	1.0
The Mahjong	the mahjong	1.0
Super Inn	super inn	1.0
Soravit on Granville	soravit on granville	1.0
Renaissance Hong Kong Harbour View Hotel	renaissance hong kong harbour view hotel	1.0
Hotel Pandora	hotel pandora	1.0
Premium Guest House	premium guest house	1.0
The Cityview	the cityview	1.0
Dadol Hotel	dadol hotel	1.0
Auberge Discovery Bay Hong Kong	auberge discovery bay hong kong	1.0
City Oasis Guest House	city oasis guest house	1.0
K11 ARTUS	k11 artus	1.0
L'etoile de Mer Mong Kok - Capsule Hotel	l'etoile de mer mong kok - capsule hotel	1.0
Galaxy Hotel Causeway Bay HK	galaxy hotel causeway bay hk	1.0
Le Meridien Cyberport	le meridien cyberport	1.0
Apple Inn @ Mong Kok	apple inn @ mong kok	1.0
Kowloon New Hostel	kowloon new hostel	1.0
Starpacker	starpacker	1.0
Marria Guest House	marria guest house	1.0
Haifengyuan Hotel	haifengyuan hotel	1.0
Wontonmeen Hostel	wontonmeen hostel	1.0
Crowne Plaza Hong Kong Kowloon East	crowne plaza hong kong kowloon east	1.0
South & North House	south & north house	1.0
New Asia Guest House	new asia guest house	1.0
Artland Guest House	artland guest house	1.0
Gorgeous Fad Hotel	gorgeous fad hotel	1.0
Harbour Bay Hotel	harbour bay hotel	1.0
KG Garden Guest House	kg garden guest house	1.0
Bluejay Residences	bluejay residences	1.0
Seaview Holiday Resort	seaview holiday resort	1.0
Zhonggang Business Hotel	zhonggang business hotel	1.0
Hang Fung Hostel	hang fung hostel	1.0
Kings Hotel	kings hotel	1.0
New Reliance Inn	new reliance inn	1.0
Four Seasons Hotel Hong Kong	four seasons hotel hong kong	1.0
Pearl Guesthouse	pearl guesthouse	1.0
Travelodge Kowloon	travelodge kowloon	1.0
O' Hotel	o' hotel	1.0
Sixiangjia Service Apartment Hotel Shenzhen Zunyu International Apartment	sixiangjia service apartment hotel shenzhen zunyu international apartment	1.0
EAST Hong Kong	east hong kong	1.0
Goodrich Hotel	goodrich hotel	1.0
City Guesthouse	city guesthouse	1.0
Mingle Place With The Star	mingle place with the star	1.0
New Garden Hostel	new garden hostel	1.0
Peace Guest House	peace guest house	1.0
UK Deluxe Hostel	uk deluxe hostel	1.0
Ho Mongkok Hotel	ho mongkok hotel	1.0
Berlin Hotel	berlin hotel	1.0
Toronto Motel	toronto motel	1.0
Harbour Guest House	harbour guest house	1.0
Novotel Hong Kong Nathan Road Kowloon	novotel hong kong nathan road kowloon	1.0
Singhs Guest House	singhs guest house	1.0
Cordis, Hong Kong	cordis, hong kong	1.0
iclub Ma Tau Wai Hotel	iclub ma tau wai hotel	1.0
KandB Hostel	kandb hostel	1.0
iclub Mong Kok Hotel	iclub mong kok hotel	1.0
Miluo Bojue Hotel	miluo bojue hotel	1.0
Kam Do Guest house	kam do guest house	1.0
Kew Green Hotel Wanchai Hong Kong	kew green hotel wanchai hong kong	1.0
Oriental Pearl Hostel Hong Kong	oriental pearl hostel hong kong	1.0
Hotel Madera Hong Kong	hotel madera hong kong	1.0
HK Sky House	hk sky house	1.0
Grand City Hotel	grand city hotel	1.0
Chung Kiu Inn	chung kiu inn	1.0
Hung Fai Guest House	hung fai guest house	1.0
K&B Hostel	k&b hostel	1.0
Mini Hotel Causeway Bay Hong Kong	mini hotel causeway bay hong kong	1.0
Hyatt Regency Hong Kong, Tsim Sha Tsui	hyatt regency hong kong, tsim sha tsui	1.0
Jetvan Traveller's House	jetvan traveller's house	1.0
SNOOZE Capsule Hotel	snooze capsule hotel	1.0
South Pacific Hotel	south pacific hotel	1.0
New Yiu Fai Guest House	new yiu fai guest house	1.0
Y Loft	y loft	1.0
S3 Hotel	s3 hotel	1.0
Courtyard Hong Kong	courtyard hong kong	1.0
Joy Guesthouse	joy guesthouse	1.0
Ibis Hong Kong Central & Sheung Wan	ibis hong kong central & sheung wan	1.0
The South China Hotel	the south china hotel	1.0
Home Plus Inn	home plus inn	1.0
Geo-Home Holiday Hotel	geo-home holiday hotel	1.0
InterContinental Grand Stanford	intercontinental grand stanford	1.0
Paris Hotel Hong Kong	paris hotel hong kong	1.0
V Causeway Bay Serviced Apartments	v causeway bay serviced apartments	1.0
Sunny Day Hotel	sunny day hotel	1.0
Island Shangri-La Hong Kong	island shangri-la hong kong	1.0
Pengda Guesthouse	pengda guesthouse	1.0
Move Inn	move inn	1.0
Shama Island North Hong Kong	shama island north hong kong	1.0
Hop Inn	hop inn	1.0
Golden Ocean Hotel	golden ocean hotel	1.0
Tabi88 Hostel	tabi88 hostel	1.0
