Honjo	honjo	1.0
Chuen Cheung Kui	chuen cheung kui	1.0
Outback Steakhouse	outback steakhouse	1.0
Caviar House & Prunier	caviar house & prunier	1.0
Fishsteria Seafood Place	fishsteria seafood place	1.0
The Red Pepper	the red pepper	1.0
RA Restaurant & Lounge	ra restaurant & lounge	1.0
Satay Inn	satay inn	1.0
Casa Lisboa Portuguese Restaurant & Bar	casa lisboa portuguese restaurant & bar	1.0
Big Sur Beer and Barbecue	big sur beer and barbecue	1.0
Agave	agave	1.0
LE CAFE de Joel Robuchon	le cafe de joel robuchon	1.0
Yakiniku Great	yakiniku great	1.0
Pho le	pho le	1.0
Poem	poem	1.0
Uptop Bistro and Bar	uptop bistro and bar	1.0
Lee Ho Sing	lee ho sing	1.0
Inaniwa Udon Nabe	inaniwa udon nabe	1.0
Scarlett Cafe & Wine Bar	scarlett cafe & wine bar	1.0
Shia Wong Hip	shia wong hip	1.0
Flame Japanese Cuisine	flame japanese cuisine	1.0
Cinta-J	cinta-j	1.0
Ebeneezer's Kebabs & Pizzeria Wanchai-1	ebeneezer's kebabs & pizzeria wanchai-1	1.0
The Bar at The Peninsula Hong Kong	the bar at the peninsula hong kong	1.0
Curry Leaf - Indian Cuisine	curry leaf - indian cuisine	1.0
Little Creatures	little creatures	1.0
Morokok	morokok	1.0
Mon Kee Cafe - Tsim Sha Tsui	mon kee cafe - tsim sha tsui	1.0
McDonald's	mcdonald's	1.0
Our Restaurant - Turkish Doner Kebab Halal Food	our restaurant - turkish doner kebab halal food	1.0
Noodies	noodies	1.0
Le Pain Quotidien	le pain quotidien	1.0
King Ludwig	king ludwig	1.0
Burger Joys	burger joys	1.0
De Luna Tapas Bar And Restaurant	de luna tapas bar and restaurant	1.0
Popinjays	popinjays	1.0
Chao Yang Restaurant	chao yang restaurant	1.0
Disney's Hollywood Hotel - Chef Mickey	disney's hollywood hotel - chef mickey	1.0
hEat	heat	1.0
Mike's Chicken Comida de Portugal	mike's chicken comida de portugal	1.0
Gastrobox by Okapi Cafe	gastrobox by okapi cafe	1.0
Beyrouth Bistro	beyrouth bistro	1.0
Wingman	wingman	1.0
Pizza Express	pizza express	1.0
Pici Pasta Bar Central	pici pasta bar central	1.0
L'aLtro	l'altro	1.0
Feather and Bone - Sai Ying Pun	feather and bone - sai ying pun	1.0
The Trafalgar Brewing Company	the trafalgar brewing company	1.0
Clipper Lounge	clipper lounge	1.0
Caprice	caprice	1.0
High Street Grill	high street grill	1.0
The Chinese Library	the chinese library	1.0
Nadaman, Kowloon Shangri-la Hong Kong	nadaman, kowloon shangri-la hong kong	1.0
Bongchu Jjimdak	bongchu jjimdak	1.0
ChaosHotpoter	chaoshotpoter	1.0
Yonge Piggies	yonge piggies	1.0
Mama San Restaurant & Bar	mama san restaurant & bar	1.0
Maison Libanaise	maison libanaise	1.0
L'Atelier de Joel Robuchon	l'atelier de joel robuchon	1.0
Nhau	nhau	1.0
Ying vegetarian	ying vegetarian	1.0
Gonpachi	gonpachi	1.0
The Patagonia Argentinian Steak House	the patagonia argentinian steak house	1.0
Cafe Siam	cafe siam	1.0
La Piola Restaurant & Bar	la piola restaurant & bar	1.0
Mon Kee Cafe	mon kee cafe	1.0
Deli and Wine	deli and wine	1.0
ABC Kitchen	abc kitchen	1.0
Seansin Seafood Hotpot Experts	seansin seafood hotpot experts	1.0
Kam Wah Cafe	kam wah cafe	1.0
MukOx Restaurant	mukox restaurant	1.0
Restaurant de Chine	restaurant de chine	1.0
MINH & KOK	minh & kok	1.0
Daikiya Japanese Restaurant	daikiya japanese restaurant	1.0
Kopitiam Bagus.Bagus	kopitiam bagus.bagus	1.0
Orange Tree Restaurant	orange tree restaurant	1.0
Fleur de Sel	fleur de sel	1.0
Pizza Express Wing Fung Street	pizza express wing fung street	1.0
Cafe Kool	cafe kool	1.0
Brunch Club	brunch club	1.0
Captain's Bar - Mandarin Oriental, Hong Kong	captain's bar - mandarin oriental, hong kong	1.0
Ba Sushi and Japanese Food	ba sushi and japanese food	1.0
DUB | Concept by SAAM	dub | concept by saam	1.0
Thai Chef Thais Restaurant	thai chef thais restaurant	1.0
Fini's Italian American	fini's italian american	1.0
Sushi Kuu	sushi kuu	1.0
Butao Ramen	butao ramen	1.0
238 Restaurant	238 restaurant	1.0
The Tai Pan	the tai pan	1.0
SML	sml	1.0
Peek-A-Poke	peek-a-poke	1.0
Gateway Cuisine	gateway cuisine	1.0
BEDU	bedu	1.0
Mango Tree	mango tree	1.0
8Five2 Restobar	8five2 restobar	1.0
Thai Basil	thai basil	1.0
Something Wild - The Farm	something wild - the farm	1.0
BLT Burger	blt burger	1.0
