christ s college	christ s college	1.0
kirkwood house	kirkwood house	1.0
bridge guest house	bridge guest house	1.0
cineworld cinema	cineworld cinema	1.0
gonville hotel	gonville hotel	1.0
ashley hotel	ashley hotel	1.0
arbury lodge guesthouse	arbury lodge guesthouse	1.0
worth house	worth house	1.0
city centre north b and b	city centre north b and b	1.0
the lensfield hotel	the lensfield hotel	1.0
funky fun house	funky fun house	1.0
riverboat georgina	riverboat georgina	1.0
backstreet bistro	backstreet bistro	1.0
the junction	the junction	1.0
express by holiday inn cambridge	express by holiday inn cambridge	1.0
all saints church	all saints church	1.0
sala thong	sala thong	1.0
byard art	byard art	1.0
london kings cross train station	london kings cross train station	1.0
la raza	la raza	1.0
alexander bed and breakfast	alexander bed and breakfast	1.0
cityroomz	cityroomz	1.0
hamilton lodge	hamilton lodge	1.0
el shaddai	el shaddai	1.0
restaurant alimentum	restaurant alimentum	1.0
allenbell	allenbell	1.0
churchill college	churchill college	1.0
clare college	clare college	1.0
parkside pools	parkside pools	1.0
cambridge arts theatre	cambridge arts theatre	1.0
frankie and bennys	frankie and bennys	1.0
huntingdon marriott hotel	huntingdon marriott hotel	1.0
university arms hotel	university arms hotel	1.0
acorn guest house	acorn guest house	1.0
soul tree nightclub	soul tree nightclub	1.0
ali baba	ali baba	1.0
tandoori palace	tandoori palace	1.0
saigon city	saigon city	1.0
zizzi cambridge	zizzi cambridge	1.0
wagamama	wagamama	1.0
the cambridge belfry	the cambridge belfry	1.0
milton country park	milton country park	1.0
a and b guest house	a and b guest house	1.0
city stop restaurant	city stop restaurant	1.0
grafton hotel restaurant	grafton hotel restaurant	1.0
the man on the moon	the man on the moon	1.0
king's college	king s college	1.0
great saint mary's church	great saint mary s church	1.0
the oak bistro	the oak bistro	1.0
club salsa	club salsa	1.0
loch fyne	loch fyne	1.0
the place	the place	1.0
la mimosa	la mimosa	1.0
la margherita	la margherita	1.0
restaurant two two	restaurant two two	1.0
queens' college	queens college	1.0
wandlebury country park	wandlebury country park	1.0
kymmoy	kymmoy	1.0
magdalene college	magdalene college	1.0
royal standard	royal standard	1.0
kings lynn train station	kings lynn train station	1.0
the fez club	the fez club	1.0
jesus green outdoor pool	jesus green outdoor pool	1.0
vue cinema	vue cinema	1.0
little saint mary's church	little saint mary s church	1.0
avalon	avalon	1.0
aylesbray lodge guest house	aylesbray lodge guest house	1.0
chinese city centre	chinese city centre	1.0
thanh binh	thanh binh	1.0
yu garden	yu garden	1.0
finches bed and breakfast	finches bed and breakfast	1.0
hakka	hakka	1.0
lovell lodge	lovell lodge	1.0
kettle's yard	kettle s yard	1.0
bloomsbury restaurant	bloomsbury restaurant	1.0
museum of classical archaeology	museum of classical archaeology	1.0
cherry hinton water play	cherry hinton water play	1.0
camboats	camboats	1.0
pizza hut cherry hinton	pizza hut cherry hinton	1.0
abbey pool and astroturf pitch	abbey pool and astroturf pitch	1.0
pizza hut	pizza hut	1.0
taj tandoori	taj tandoori	1.0
kings hedges learner pool	kings hedges learner pool	1.0
nandos city centre	nandos city centre	1.0
hobsons house	hobsons house	1.0
carolina bed and breakfast	carolina bed and breakfast	1.0
the golden curry	the golden curry	1.0
rosa's bed and breakfast	rosa s bed and breakfast	1.0
the river bar steakhouse and grill	the river bar steakhouse and grill	1.0
cafe jello gallery	cafe jello gallery	1.0
the cambridge punter	the cambridge punter	1.0
the byard art museum	the byard art museum	1.0
archway house	archway house	1.0
ugly duckling	ugly duckling	1.0
cherry hinton hall and grounds	cherry hinton hall and grounds	1.0
addenbrookes hospital	addenbrookes hospital	1.0
graffiti	graffiti	1.0
cambridge artworks	cambridge artworks	1.0
broughton house gallery	broughton house gallery	1.0
the missing sock	the missing sock	1.0
autumn house	autumn house	1.0
stazione restaurant and coffee bar	stazione restaurant and coffee bar	1.0
whale of a time	whale of a time	1.0
cambridge lodge restaurant	cambridge lodge restaurant	1.0
saint johns chop house	saint johns chop house	1.0
prezzo	prezzo	1.0
rice boat	rice boat	1.0
lan hong house	lan hong house	1.0
leverton house	leverton house	1.0
kambar	kambar	1.0
museum of archaelogy and anthropology	museum of archaelogy and anthropology	1.0
saint catharine's college	saint catharine s college	1.0
la tasca	la tasca	1.0
cambridge	cambridge	1.0
downing college	downing college	1.0
cocum	cocum	1.0
mumford theatre	mumford theatre	1.0
cote	cote	1.0
golden wok	golden wok	1.0
cambridge university botanic gardens	cambridge university botanic gardens	1.0
charlie chan	charlie chan	1.0
corpus christi	corpus christi	1.0
old schools	old schools	1.0
cambridge belfry	cambridge belfry	1.0
jinling noodle bar	jinling noodle bar	1.0
birmingham new street train station	birmingham new street train station	1.0
meze bar restaurant	meze bar restaurant	1.0
warkworth house	warkworth house	1.0
pizza express	pizza express	1.0
