RS4000000000-0	list cities	now => @org.wikidata.city => notify
RS4000000001-0	retrieve all cities	now => @org.wikidata.city => notify
RS4000000002-0	retrieve all cities	now => @org.wikidata.city => notify
RS4000000003-0	list cities	now => @org.wikidata.city => notify
RS4000000004-0	retrieve all cities	now => @org.wikidata.city => notify
RS4000000005-0	search the list of all cities .	now => @org.wikidata.city => notify
RS4000000006-0	retrieve all cities .	now => @org.wikidata.city => notify
RS4000000007-0	i want to search the list of cities	now => @org.wikidata.city => notify
RS4000000008-0	retrieve all cities .	now => @org.wikidata.city => notify
RS4000000009-0	list cities	now => @org.wikidata.city => notify
RS4000000010-0	search the list of all cities	now => @org.wikidata.city => notify
RS4000000011-0	i need to get the cities .	now => @org.wikidata.city => notify
RS4000000012-0	i need to get the cities	now => @org.wikidata.city => notify
RS4000000013-0	list cities	now => @org.wikidata.city => notify
RS4000000014-0	search the list of all cities .	now => @org.wikidata.city => notify
RS4000000015-0	retrieve all cities .	now => @org.wikidata.city => notify
RS5000000016-0	i need to search for the cities having over NUMBER_0 total fertility rate	now => ( @org.wikidata.city ) filter param:total_fertility_rate:Number >= NUMBER_0 => notify
RS5000000017-0	search for the cities with the most participant in .	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.city ) ) ) [ 1 ] => notify
RS5000000018-0	retrieve the cities banglapedia ( bengali version) id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 => notify
RS5000000019-0	search for the cities with the largest number of participant in .	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.city ) ) ) [ 1 ] => notify
RS5000000020-0	i am looking for the cities banglapedia ( bengali version) id QUOTED_STRING_0 which has the hottest minimum temperature record .	now => ( sort param:minimum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
RS5000000021-0	retrieve the cities banglapedia ( bengali version) id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 => notify
RS5000000022-0	search all cities having dewey decimal classification QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:dewey_decimal_classification:String =~ QUOTED_STRING_0 => notify
RS5000000023-0	search for the cities with the most participant in	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.city ) ) ) [ 1 ] => notify
RS5000000024-0	search all cities having over NUMBER_0 total fertility rate .	now => ( @org.wikidata.city ) filter param:total_fertility_rate:Number >= NUMBER_0 => notify
RS5000000025-0	i 'm looking for the cities banglapedia ( bengali version) id QUOTED_STRING_0 which has the hottest minimum temperature record	now => ( sort param:minimum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
RS5000000026-0	i am looking for the cities banglapedia ( bengali version) id QUOTED_STRING_0 which has the hottest minimum temperature record	now => ( sort param:minimum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
RS5000000027-0	i would like a citie having over NUMBER_0 total fertility rate	now => ( @org.wikidata.city ) filter param:total_fertility_rate:Number >= NUMBER_0 => notify
RS5000000028-0	i am looking for the cities banglapedia ( bengali version) id QUOTED_STRING_0 which has the hottest minimum temperature record .	now => ( sort param:minimum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
RS5000000029-0	get any cities that have later time of earliest written record than DATE_0 .	now => ( @org.wikidata.city ) filter param:time_of_earliest_written_record:Date >= DATE_0 => notify
RS5000000030-0	i am looking for the cities banglapedia ( bengali version) id QUOTED_STRING_0 which has the hottest minimum temperature record .	now => ( sort param:minimum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
RS5000000031-0	which are cities having later time of earliest written record than DATE_0 and area NUMBER_0 square meters ?	now => ( @org.wikidata.city ) filter param:area:Measure(m2) == NUMBER_0 unit:m2 and param:time_of_earliest_written_record:Date >= DATE_0 => notify
RS5000000032-0	search all cities having dewey decimal classification QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:dewey_decimal_classification:String =~ QUOTED_STRING_0 => notify
RS5000000033-0	search all cities having over NUMBER_0 total fertility rate	now => ( @org.wikidata.city ) filter param:total_fertility_rate:Number >= NUMBER_0 => notify
RS5000000034-0	i 'm looking for the cities banglapedia ( bengali version) id QUOTED_STRING_0 which has the hottest minimum temperature record	now => ( sort param:minimum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
RS5000000035-0	i am looking for the cities banglapedia ( bengali version) id QUOTED_STRING_0 which has the hottest minimum temperature record .	now => ( sort param:minimum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
RS5000000036-0	what is cities having over NUMBER_0 total fertility rate ?	now => ( @org.wikidata.city ) filter param:total_fertility_rate:Number >= NUMBER_0 => notify
RS5000000037-0	search all cities having over NUMBER_0 total fertility rate .	now => ( @org.wikidata.city ) filter param:total_fertility_rate:Number >= NUMBER_0 => notify
RS5000000038-0	search all cities having dewey decimal classification QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:dewey_decimal_classification:String =~ QUOTED_STRING_0 => notify
RS5000000039-0	search for the cities with the most participant in .	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.city ) ) ) [ 1 ] => notify
RS5000000040-0	are there cities having over NUMBER_0 total fertility rate that connects with q911135 ?	now => ( @org.wikidata.city ) filter param:connects_with:String =~ " q911135 " and param:total_fertility_rate:Number >= NUMBER_0 => notify
RS5000000041-0	search all cities having over NUMBER_0 total fertility rate .	now => ( @org.wikidata.city ) filter param:total_fertility_rate:Number >= NUMBER_0 => notify
RS5000000042-0	i 'm looking for the cities banglapedia ( bengali version) id QUOTED_STRING_0 which has the hottest minimum temperature record	now => ( sort param:minimum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
RS5000000043-0	get any cities that have later time of earliest written record than DATE_0	now => ( @org.wikidata.city ) filter param:time_of_earliest_written_record:Date >= DATE_0 => notify
RS5000000044-0	search for the cities with the most participant in .	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.city ) ) ) [ 1 ] => notify
RS5000000045-0	retrieve the cities located on terrain feature al hussein district with the hottest minimum temperature record .	now => ( sort param:minimum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:located_on_terrain_feature:Location == location: " al hussein district " ) ) [ 1 ] => notify
RS5000000046-0	search for the cities with the most participant in .	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.city ) ) ) [ 1 ] => notify
RS5000000047-0	search for the cities with the most participant in	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.city ) ) ) [ 1 ] => notify
RS6000000048-0	get any cities having over NUMBER_0 total fertility rate and later time of earliest written record than DATE_0	now => ( @org.wikidata.city ) filter param:time_of_earliest_written_record:Date >= DATE_0 and param:total_fertility_rate:Number >= NUMBER_0 => notify
RS6000000049-0	are there any cities with electoral district q20568318 and later time of earliest written record than NUMBER_0 h before now ?	now => ( @org.wikidata.city ) filter param:electoral_district:String =~ " q20568318 " and param:time_of_earliest_written_record:Date >= now - NUMBER_0 unit:h => notify
RS6000000050-0	what cities are film instance , and have over NUMBER_0 total fertility rate	now => ( @org.wikidata.city ) filter param:instance_of:Enum(Human,Village,Book,House,Film,Taxon,Building,FamilyName,Album,HumanSettlement,Painting,Version,Edition,OrTranslation,Business) == enum:Film and param:total_fertility_rate:Number >= NUMBER_0 => notify
RS6000000051-0	retrieve a list of all cities with area NUMBER_0 square meters .	now => ( @org.wikidata.city ) filter param:area:Measure(m2) == NUMBER_0 unit:m2 => notify
RS6000000052-0	search for the cities having larger area than NUMBER_0 square kilometers and the minimum minimum temperature record	now => ( sort param:minimum_temperature_record:Measure(C) asc of ( ( @org.wikidata.city ) filter param:area:Measure(m2) >= NUMBER_0 unit:km2 ) ) [ 1 ] => notify
RS6000000053-0	i would like a list of all cities having over NUMBER_0 total fertility rate and later time of earliest written record than DATE_0 .	now => ( @org.wikidata.city ) filter param:time_of_earliest_written_record:Date >= DATE_0 and param:total_fertility_rate:Number >= NUMBER_0 => notify
RS6000000054-0	find the list of cities located on terrain feature province of posen with NUMBER_0 ms or more life expectancy .	now => ( @org.wikidata.city ) filter param:life_expectancy:Measure(ms) >= NUMBER_0 unit:ms and param:located_on_terrain_feature:Location == location: " province of posen " => notify
