S4000000000	list cities	now => @org.wikidata.city => notify
S4000000001	retrieve all cities	now => @org.wikidata.city => notify
S4000000002	retrieve all cities	now => @org.wikidata.city => notify
S4000000003	list cities	now => @org.wikidata.city => notify
S4000000004	retrieve all cities	now => @org.wikidata.city => notify
S4000000005	search the list of all cities .	now => @org.wikidata.city => notify
S4000000006	retrieve all cities .	now => @org.wikidata.city => notify
S4000000007	i want to search the list of cities	now => @org.wikidata.city => notify
S4000000008	retrieve all cities .	now => @org.wikidata.city => notify
S4000000009	list cities	now => @org.wikidata.city => notify
S4000000010	search the list of all cities	now => @org.wikidata.city => notify
S4000000011	i need to get the cities .	now => @org.wikidata.city => notify
S4000000012	i need to get the cities	now => @org.wikidata.city => notify
S4000000013	list cities	now => @org.wikidata.city => notify
S4000000014	search the list of all cities .	now => @org.wikidata.city => notify
S4000000015	retrieve all cities .	now => @org.wikidata.city => notify
S5000000016	i need to search for the cities having over NUMBER_0 total fertility rate	now => ( @org.wikidata.city ) filter param:total_fertility_rate:Number >= NUMBER_0 => notify
S5000000017	search for the cities with the most participant in .	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.city ) ) ) [ 1 ] => notify
S5000000018	retrieve the cities banglapedia ( bengali version) id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 => notify
S5000000019	search for the cities with the largest number of participant in .	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.city ) ) ) [ 1 ] => notify
S5000000020	i am looking for the cities banglapedia ( bengali version) id QUOTED_STRING_0 which has the hottest minimum temperature record .	now => ( sort param:minimum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000021	retrieve the cities banglapedia ( bengali version) id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 => notify
S5000000022	search all cities having dewey decimal classification QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:dewey_decimal_classification:String =~ QUOTED_STRING_0 => notify
S5000000023	search for the cities with the most participant in	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.city ) ) ) [ 1 ] => notify
S5000000024	search all cities having over NUMBER_0 total fertility rate .	now => ( @org.wikidata.city ) filter param:total_fertility_rate:Number >= NUMBER_0 => notify
S5000000025	i 'm looking for the cities banglapedia ( bengali version) id QUOTED_STRING_0 which has the hottest minimum temperature record	now => ( sort param:minimum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000026	i am looking for the cities banglapedia ( bengali version) id QUOTED_STRING_0 which has the hottest minimum temperature record	now => ( sort param:minimum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:banglapedia_bengali_version_id:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000027	i would like a citie having over NUMBER_0 total fertility rate	now => ( @org.wikidata.city ) filter param:total_fertility_rate:Number >= NUMBER_0 => notify
