S4000000000	get any cities	now => @org.wikidata.city => notify
S4000000001	i need the cities with the highest maximum temperature record	now => ( sort param:maximum_temperature_record:Measure(C) desc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000002	search for some cities .	now => @org.wikidata.city => notify
S4000000003	i need to retrieve every cities	now => @org.wikidata.city => notify
S4000000004	is there cities ?	now => @org.wikidata.city => notify
S4000000005	i need the cities with the highest maximum temperature record	now => ( sort param:maximum_temperature_record:Measure(C) desc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000006	i need the cities with the highest maximum temperature record .	now => ( sort param:maximum_temperature_record:Measure(C) desc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000007	search for some cities .	now => @org.wikidata.city => notify
S4000000008	search for some cities	now => @org.wikidata.city => notify
S4000000009	search for some cities .	now => @org.wikidata.city => notify
S4000000010	search for some cities	now => @org.wikidata.city => notify
S4000000011	search for some cities	now => @org.wikidata.city => notify
S4000000012	i need to retrieve every cities .	now => @org.wikidata.city => notify
S4000000013	enumerate cities	now => @org.wikidata.city => notify
S4000000014	which cities get density 0 ?	now => ( @org.wikidata.city ) filter param:density:Number == 0 => notify
S4000000015	i need the cities with the highest maximum temperature record .	now => ( sort param:maximum_temperature_record:Measure(C) desc of ( @org.wikidata.city ) ) [ 1 ] => notify
S5000000016	i need the cities having flag QUOTED_STRING_0 and the highest maximum temperature record	now => ( sort param:maximum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:flag:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000017	i 'm looking to get the list of all cities open street map relation id QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:openstreetmap_relation_id:String =~ QUOTED_STRING_0 => notify
S5000000018	is there cities dedicated to QUOTED_STRING_0 open street map relation id QUOTED_STRING_0 ?	now => ( @org.wikidata.city ) filter param:dedicated_to:String =~ QUOTED_STRING_0 and param:openstreetmap_relation_id:String =~ QUOTED_STRING_0 => notify
S5000000019	i am looking to get the list of all cities open street map relation id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:openstreetmap_relation_id:String =~ QUOTED_STRING_0 => notify
S5000000020	get every cities with density 0	now => ( @org.wikidata.city ) filter param:density:Number == 0 => notify
S5000000021	what cities get density 0 and time of discovery or invention today	now => ( @org.wikidata.city ) filter param:density:Number == 0 and param:time_of_discovery_or_invention:Date == start_of unit:day => notify
S5000000022	i 'd like all the cities that have number of households larger than 0 .	now => ( @org.wikidata.city ) filter param:number_of_households:Number >= 0 => notify
S5000000023	i need to search for the list of cities with density 0 .	now => ( @org.wikidata.city ) filter param:density:Number == 0 => notify
S5000000024	please list cities open street map relation id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:openstreetmap_relation_id:String =~ QUOTED_STRING_0 => notify
S5000000025	i 'm looking to get the list of all cities open street map relation id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:openstreetmap_relation_id:String =~ QUOTED_STRING_0 => notify
S5000000026	please list cities open street map relation id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:openstreetmap_relation_id:String =~ QUOTED_STRING_0 => notify
S5000000027	i 'm looking to get the list of all cities open street map relation id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:openstreetmap_relation_id:String =~ QUOTED_STRING_0 => notify
S5000000028	i would like all the cities that have number of households larger than 0 .	now => ( @org.wikidata.city ) filter param:number_of_households:Number >= 0 => notify
S5000000029	find an cities located in or next to body of water QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:located_in_or_next_to_body_of_water:Array(String) contains~ QUOTED_STRING_0 => notify
S5000000030	find an cities located in or next to body of water QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:located_in_or_next_to_body_of_water:Array(String) contains~ QUOTED_STRING_0 => notify
S5000000031	i 'm looking to get the list of all cities open street map relation id QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:openstreetmap_relation_id:String =~ QUOTED_STRING_0 => notify
S5000000032	i need to search for the list of cities with density 0	now => ( @org.wikidata.city ) filter param:density:Number == 0 => notify
S5000000033	please list cities open street map relation id QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:openstreetmap_relation_id:String =~ QUOTED_STRING_0 => notify
S5000000034	get every cities with density 0	now => ( @org.wikidata.city ) filter param:density:Number == 0 => notify
S5000000035	i am looking to get the list of all cities open street map relation id QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:openstreetmap_relation_id:String =~ QUOTED_STRING_0 => notify
S5000000036	get the cities that applies to jurisdiction my office and have the earliest time of earliest written record	now => ( sort param:time_of_earliest_written_record:Date asc of ( ( @org.wikidata.city ) filter param:applies_to_jurisdiction:Location == location:work ) ) [ 1 ] => notify
S5000000037	i 'm looking to get the list of all cities open street map relation id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:openstreetmap_relation_id:String =~ QUOTED_STRING_0 => notify
S5000000038	i need the cities having flag QUOTED_STRING_0 and the highest maximum temperature record .	now => ( sort param:maximum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:flag:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000039	i 'm looking to get the list of all cities open street map relation id QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:openstreetmap_relation_id:String =~ QUOTED_STRING_0 => notify
S5000000040	i need to search for the list of cities with density 0	now => ( @org.wikidata.city ) filter param:density:Number == 0 => notify
S5000000041	is there cities having lower maximum temperature record than 0 c ?	now => ( @org.wikidata.city ) filter param:maximum_temperature_record:Measure(C) <= 0 unit:C => notify
S5000000042	find an cities located in or next to body of water QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:located_in_or_next_to_body_of_water:Array(String) contains~ QUOTED_STRING_0 => notify
S5000000043	are there cities with maximum temperature record 0 c	now => ( @org.wikidata.city ) filter param:maximum_temperature_record:Measure(C) == 0 unit:C => notify
S5000000044	i would like all the cities that have number of households larger than 0	now => ( @org.wikidata.city ) filter param:number_of_households:Number >= 0 => notify
S5000000045	get the cities that applies to jurisdiction my office and have the earliest time of earliest written record	now => ( sort param:time_of_earliest_written_record:Date asc of ( ( @org.wikidata.city ) filter param:applies_to_jurisdiction:Location == location:work ) ) [ 1 ] => notify
S5000000046	i 'm looking to get the list of all cities open street map relation id QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:openstreetmap_relation_id:String =~ QUOTED_STRING_0 => notify
S5000000047	get a list of all cities located in or next to body of water QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:located_in_or_next_to_body_of_water:Array(String) contains~ QUOTED_STRING_0 => notify
S6000000048	search all cities that have time of discovery or invention today	now => ( @org.wikidata.city ) filter param:time_of_discovery_or_invention:Date == start_of unit:day => notify
S6000000049	please search for all the cities dedicated to QUOTED_STRING_0 with width 0 m .	now => ( @org.wikidata.city ) filter param:dedicated_to:String =~ QUOTED_STRING_0 and param:width:Measure(m) == 0 unit:m => notify
S6000000050	list cities dedicated to QUOTED_STRING_0 , which have flag QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:dedicated_to:String =~ QUOTED_STRING_0 and param:flag:String =~ QUOTED_STRING_0 => notify
S6000000051	what cities get service retirement 0 minutes before today ?	now => ( @org.wikidata.city ) filter param:service_retirement:Date == start_of unit:day - 0 unit:min => notify
S6000000052	i want the list of all cities which have width 0 m	now => ( @org.wikidata.city ) filter param:width:Measure(m) == 0 unit:m => notify
S6000000053	search all cities that have time of discovery or invention today .	now => ( @org.wikidata.city ) filter param:time_of_discovery_or_invention:Date == start_of unit:day => notify
