S4000000000	i 'd like the city with the shortest elevation above sea level	now => ( sort param:elevation_above_sea_level:Measure(m) asc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000001	i 'm looking for the city with the shortest elevation above sea level .	now => ( sort param:elevation_above_sea_level:Measure(m) asc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000002	i am looking for the city with the shortest elevation above sea level	now => ( sort param:elevation_above_sea_level:Measure(m) asc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000003	i am looking for the city with the shortest elevation above sea level	now => ( sort param:elevation_above_sea_level:Measure(m) asc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000004	i 'm looking for the city with the shortest elevation above sea level .	now => ( sort param:elevation_above_sea_level:Measure(m) asc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000005	i would like to get a list of city	now => @org.wikidata.city => notify
S4000000006	i need to retrieve a list of all city	now => @org.wikidata.city => notify
S4000000007	enumerate city .	now => @org.wikidata.city => notify
S4000000008	i would like to get a list of city	now => @org.wikidata.city => notify
S4000000009	i am looking for the city with the shortest elevation above sea level	now => ( sort param:elevation_above_sea_level:Measure(m) asc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000010	enumerate city .	now => @org.wikidata.city => notify
S4000000011	i 'm looking for the city with the shortest elevation above sea level	now => ( sort param:elevation_above_sea_level:Measure(m) asc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000012	i 'm looking for the city with the shortest elevation above sea level	now => ( sort param:elevation_above_sea_level:Measure(m) asc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000013	search for the city with the shortest elevation above sea level	now => ( sort param:elevation_above_sea_level:Measure(m) asc of ( @org.wikidata.city ) ) [ 1 ] => notify
S4000000014	list city .	now => @org.wikidata.city => notify
S4000000015	i am looking for the city with the shortest elevation above sea level .	now => ( sort param:elevation_above_sea_level:Measure(m) asc of ( @org.wikidata.city ) ) [ 1 ] => notify
S5000000016	i need the city that have official number of town quarter containing QUOTED_STRING_0 and have the hottest maximum temperature record	now => ( sort param:maximum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:official_number_of_town_quarter:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000017	i need the city which connects with QUOTED_STRING_0 and have the shortest elevation above sea level	now => ( sort param:elevation_above_sea_level:Measure(m) asc of ( ( @org.wikidata.city ) filter param:connects_with:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000018	get the city pactols thesaurus id QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:pactols_thesaurus_id:String =~ QUOTED_STRING_0 => notify
S5000000019	search for the city having official number of town quarter containing QUOTED_STRING_0 and the hottest maximum temperature record	now => ( sort param:maximum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:official_number_of_town_quarter:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000020	i 'd like to search the city having over 3 visitors per year	now => ( @org.wikidata.city ) filter param:visitors_per_year:Number >= 3 => notify
S5000000021	search for every city with licence plate code QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:licence_plate_code:String =~ QUOTED_STRING_0 => notify
S5000000022	i need the city that have official number of town quarter containing QUOTED_STRING_0 and have the hottest maximum temperature record	now => ( sort param:maximum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:official_number_of_town_quarter:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000023	i need to get all city with git hub username QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:github_username:String =~ QUOTED_STRING_0 => notify
S5000000024	i need to get all city with git hub username QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:github_username:String =~ QUOTED_STRING_0 => notify
S5000000025	which city connects with QUOTED_STRING_0 , and have area smaller than 3 square kilometers	now => ( @org.wikidata.city ) filter param:area:Measure(m2) <= 3 unit:km2 and param:connects_with:String =~ QUOTED_STRING_0 => notify
S5000000026	i 'd like to search the city having over 3 visitors per year .	now => ( @org.wikidata.city ) filter param:visitors_per_year:Number >= 3 => notify
S5000000027	get the city pactols thesaurus id QUOTED_STRING_0	now => ( @org.wikidata.city ) filter param:pactols_thesaurus_id:String =~ QUOTED_STRING_0 => notify
S5000000028	i need the city that have official number of town quarter containing QUOTED_STRING_0 and have the hottest maximum temperature record	now => ( sort param:maximum_temperature_record:Measure(C) desc of ( ( @org.wikidata.city ) filter param:official_number_of_town_quarter:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000029	i want some city with git hub username QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:github_username:String =~ QUOTED_STRING_0 => notify
S5000000030	i want some city with git hub username QUOTED_STRING_0 .	now => ( @org.wikidata.city ) filter param:github_username:String =~ QUOTED_STRING_0 => notify
