RS4000000000-0	get an country	now => @org.wikidata.country => notify
RS4000000001-0	please search for any country .	now => @org.wikidata.country => notify
RS4000000002-0	get an country .	now => @org.wikidata.country => notify
RS4000000003-0	please search for any country	now => @org.wikidata.country => notify
RS4000000004-0	please list country	now => @org.wikidata.country => notify
RS4000000005-0	please list country .	now => @org.wikidata.country => notify
RS4000000006-0	get an country	now => @org.wikidata.country => notify
RS4000000007-0	get an country .	now => @org.wikidata.country => notify
RS4000000008-0	please search for any country .	now => @org.wikidata.country => notify
RS4000000009-0	please list country	now => @org.wikidata.country => notify
RS4000000010-0	get an country .	now => @org.wikidata.country => notify
RS4000000011-0	please list country .	now => @org.wikidata.country => notify
RS4000000012-0	what are country which have age of candidacy 0	now => ( @org.wikidata.country ) filter param:age_of_candidacy:Number == 0 => notify
RS4000000013-0	retrieve a list of all country	now => @org.wikidata.country => notify
RS4000000014-0	list country	now => @org.wikidata.country => notify
RS4000000015-0	please search for any country	now => @org.wikidata.country => notify
RS5000000016-0	i need the list of country with basic form of government monarchy .	now => ( @org.wikidata.country ) filter param:basic_form_of_government:Enum(Dictatorship,Monarchy,Republic,ConstitutionalMonarchy,Federation,Theocracy,SemiPresidentialSystem,PresidentialRegime,Oligarchy,ParliamentarySystem,Autocracy,UnitaryState,AbsoluteMonarchy,RepresentativeDemocracy,FederalRepublic,ElectiveMonarchy,AristocraticRepublic,Condominium,HereditaryMonarchy,SovietRepublic,DirectorialSystem,DualMonarchy,AsymmetricFederalism,ParliamentaryMonarchy,ParliamentaryRepublic,CompositeMonarchy,RepublicanRegimeInFrance) == enum:Monarchy => notify
RS5000000017-0	get a country digital atlas of the roman empire id 25440 .	now => ( @org.wikidata.country ) filter param:digital_atlas_of_the_roman_empire_id:String =~ " 25440 " => notify
RS5000000018-0	search the country having insee countries and foreign territories code including 99109 and the minimum minimum temperature record .	now => ( sort param:minimum_temperature_record:Measure(C) asc of ( ( @org.wikidata.country ) filter param:insee_countries_and_foreign_territories_code:String =~ " 99109 " ) ) [ 1 ] => notify
RS5000000019-0	i need the list of country with basic form of government monarchy .	now => ( @org.wikidata.country ) filter param:basic_form_of_government:Enum(Dictatorship,Monarchy,Republic,ConstitutionalMonarchy,Federation,Theocracy,SemiPresidentialSystem,PresidentialRegime,Oligarchy,ParliamentarySystem,Autocracy,UnitaryState,AbsoluteMonarchy,RepresentativeDemocracy,FederalRepublic,ElectiveMonarchy,AristocraticRepublic,Condominium,HereditaryMonarchy,SovietRepublic,DirectorialSystem,DualMonarchy,AsymmetricFederalism,ParliamentaryMonarchy,ParliamentaryRepublic,CompositeMonarchy,RepublicanRegimeInFrance) == enum:Monarchy => notify
RS5000000020-0	i 'm looking for the country with the most participant in	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
RS5000000021-0	i am looking for the country with the most participant in	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
RS5000000022-0	are there country having insee countries and foreign territories code including q465613 which is subclass of q465613 ?	now => ( @org.wikidata.country ) filter param:insee_countries_and_foreign_territories_code:String =~ " q465613 " and param:subclass_of:String =~ " q465613 " => notify
RS5000000023-0	i am looking for the country with the most participant in	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
RS5000000024-0	i am looking for the country with the most participant in	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
RS5000000025-0	i 'm looking for the list of all country which have insee countries and foreign territories code including 99335	now => ( @org.wikidata.country ) filter param:insee_countries_and_foreign_territories_code:String =~ " 99335 " => notify
RS5000000026-0	i need the list of country with basic form of government monarchy	now => ( @org.wikidata.country ) filter param:basic_form_of_government:Enum(Dictatorship,Monarchy,Republic,ConstitutionalMonarchy,Federation,Theocracy,SemiPresidentialSystem,PresidentialRegime,Oligarchy,ParliamentarySystem,Autocracy,UnitaryState,AbsoluteMonarchy,RepresentativeDemocracy,FederalRepublic,ElectiveMonarchy,AristocraticRepublic,Condominium,HereditaryMonarchy,SovietRepublic,DirectorialSystem,DualMonarchy,AsymmetricFederalism,ParliamentaryMonarchy,ParliamentaryRepublic,CompositeMonarchy,RepublicanRegimeInFrance) == enum:Monarchy => notify
RS5000000027-0	please search for the list of country pactols thesaurus id pcrtsxtvnwzabe	now => ( @org.wikidata.country ) filter param:pactols_thesaurus_id:String =~ " pcrtsxtvnwzabe " => notify
RS5000000028-0	i 'm looking for the country with the most participant in .	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
RS5000000029-0	i 'm looking for the list of all country which have insee countries and foreign territories code including 99219	now => ( @org.wikidata.country ) filter param:insee_countries_and_foreign_territories_code:String =~ " 99219 " => notify
RS5000000030-0	i 'm looking for the country with the most participant in .	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
RS5000000031-0	please search for the list of country pactols thesaurus id pcrt8mx4dfgupg	now => ( @org.wikidata.country ) filter param:pactols_thesaurus_id:String =~ " pcrt8mx4dfgupg " => notify
RS5000000032-0	i need the list of country with basic form of government monarchy .	now => ( @org.wikidata.country ) filter param:basic_form_of_government:Enum(Dictatorship,Monarchy,Republic,ConstitutionalMonarchy,Federation,Theocracy,SemiPresidentialSystem,PresidentialRegime,Oligarchy,ParliamentarySystem,Autocracy,UnitaryState,AbsoluteMonarchy,RepresentativeDemocracy,FederalRepublic,ElectiveMonarchy,AristocraticRepublic,Condominium,HereditaryMonarchy,SovietRepublic,DirectorialSystem,DualMonarchy,AsymmetricFederalism,ParliamentaryMonarchy,ParliamentaryRepublic,CompositeMonarchy,RepublicanRegimeInFrance) == enum:Monarchy => notify
RS5000000033-0	retrieve a country located in the administrative territorial entity atlantic ocean .	now => ( @org.wikidata.country ) filter param:located_in_the_administrative_territorial_entity:Location == location: " atlantic ocean " => notify
