S4000000000	get an country	now => @org.wikidata.country => notify
S4000000001	please search for any country .	now => @org.wikidata.country => notify
S4000000002	get an country .	now => @org.wikidata.country => notify
S4000000003	please search for any country	now => @org.wikidata.country => notify
S4000000004	please list country	now => @org.wikidata.country => notify
S4000000005	please list country .	now => @org.wikidata.country => notify
S4000000006	get an country	now => @org.wikidata.country => notify
S4000000007	get an country .	now => @org.wikidata.country => notify
S4000000008	please search for any country .	now => @org.wikidata.country => notify
S4000000009	please list country	now => @org.wikidata.country => notify
S4000000010	get an country .	now => @org.wikidata.country => notify
S4000000011	please list country .	now => @org.wikidata.country => notify
S4000000012	what are country which have age of candidacy 0	now => ( @org.wikidata.country ) filter param:age_of_candidacy:Number == 0 => notify
S4000000013	retrieve a list of all country	now => @org.wikidata.country => notify
S4000000014	list country	now => @org.wikidata.country => notify
S4000000015	please search for any country	now => @org.wikidata.country => notify
S5000000016	i need the list of country with basic form of government monarchy .	now => ( @org.wikidata.country ) filter param:basic_form_of_government:Enum(Dictatorship,Monarchy,Republic,ConstitutionalMonarchy,Federation,Theocracy,SemiPresidentialSystem,PresidentialRegime,Oligarchy,ParliamentarySystem,Autocracy,UnitaryState,AbsoluteMonarchy,RepresentativeDemocracy,FederalRepublic,ElectiveMonarchy,AristocraticRepublic,Condominium,HereditaryMonarchy,SovietRepublic,DirectorialSystem,DualMonarchy,AsymmetricFederalism,ParliamentaryMonarchy,ParliamentaryRepublic,CompositeMonarchy,RepublicanRegimeInFrance) == enum:Monarchy => notify
S5000000017	get a country digital atlas of the roman empire id QUOTED_STRING_0 .	now => ( @org.wikidata.country ) filter param:digital_atlas_of_the_roman_empire_id:String =~ QUOTED_STRING_0 => notify
S5000000018	search the country having insee countries and foreign territories code including QUOTED_STRING_0 and the minimum minimum temperature record .	now => ( sort param:minimum_temperature_record:Measure(C) asc of ( ( @org.wikidata.country ) filter param:insee_countries_and_foreign_territories_code:String =~ QUOTED_STRING_0 ) ) [ 1 ] => notify
S5000000019	i need the list of country with basic form of government monarchy .	now => ( @org.wikidata.country ) filter param:basic_form_of_government:Enum(Dictatorship,Monarchy,Republic,ConstitutionalMonarchy,Federation,Theocracy,SemiPresidentialSystem,PresidentialRegime,Oligarchy,ParliamentarySystem,Autocracy,UnitaryState,AbsoluteMonarchy,RepresentativeDemocracy,FederalRepublic,ElectiveMonarchy,AristocraticRepublic,Condominium,HereditaryMonarchy,SovietRepublic,DirectorialSystem,DualMonarchy,AsymmetricFederalism,ParliamentaryMonarchy,ParliamentaryRepublic,CompositeMonarchy,RepublicanRegimeInFrance) == enum:Monarchy => notify
S5000000020	i 'm looking for the country with the most participant in	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
S5000000021	i am looking for the country with the most participant in	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
S5000000022	are there country having insee countries and foreign territories code including QUOTED_STRING_0 which is subclass of QUOTED_STRING_0 ?	now => ( @org.wikidata.country ) filter param:insee_countries_and_foreign_territories_code:String =~ QUOTED_STRING_0 and param:subclass_of:String =~ QUOTED_STRING_0 => notify
S5000000023	i am looking for the country with the most participant in	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
S5000000024	i am looking for the country with the most participant in	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
S5000000025	i 'm looking for the list of all country which have insee countries and foreign territories code including QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:insee_countries_and_foreign_territories_code:String =~ QUOTED_STRING_0 => notify
S5000000026	i need the list of country with basic form of government monarchy	now => ( @org.wikidata.country ) filter param:basic_form_of_government:Enum(Dictatorship,Monarchy,Republic,ConstitutionalMonarchy,Federation,Theocracy,SemiPresidentialSystem,PresidentialRegime,Oligarchy,ParliamentarySystem,Autocracy,UnitaryState,AbsoluteMonarchy,RepresentativeDemocracy,FederalRepublic,ElectiveMonarchy,AristocraticRepublic,Condominium,HereditaryMonarchy,SovietRepublic,DirectorialSystem,DualMonarchy,AsymmetricFederalism,ParliamentaryMonarchy,ParliamentaryRepublic,CompositeMonarchy,RepublicanRegimeInFrance) == enum:Monarchy => notify
S5000000027	please search for the list of country pactols thesaurus id QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:pactols_thesaurus_id:String =~ QUOTED_STRING_0 => notify
S5000000028	i 'm looking for the country with the most participant in .	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
S5000000029	i 'm looking for the list of all country which have insee countries and foreign territories code including QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:insee_countries_and_foreign_territories_code:String =~ QUOTED_STRING_0 => notify
S5000000030	i 'm looking for the country with the most participant in .	now => ( sort param:count:Number desc of ( compute count ( param:participant_in:Array(Entity(org.wikidata:event)) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
S5000000031	please search for the list of country pactols thesaurus id QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:pactols_thesaurus_id:String =~ QUOTED_STRING_0 => notify
