S4000000000	search for all countries .	now => @org.wikidata.country => notify
S4000000001	i want a list of countries	now => @org.wikidata.country => notify
S4000000002	get a list of all countries .	now => @org.wikidata.country => notify
S4000000003	get a list of all countries .	now => @org.wikidata.country => notify
S4000000004	i am looking for every countries	now => @org.wikidata.country => notify
S4000000005	i want a list of countries	now => @org.wikidata.country => notify
S4000000006	retrieve the countries .	now => @org.wikidata.country => notify
S4000000007	i 'm looking for every countries	now => @org.wikidata.country => notify
S4000000008	i want a list of countries	now => @org.wikidata.country => notify
S4000000009	i want a list of countries .	now => @org.wikidata.country => notify
S4000000010	i want a list of countries .	now => @org.wikidata.country => notify
S4000000011	retrieve the countries	now => @org.wikidata.country => notify
S4000000012	retrieve the countries	now => @org.wikidata.country => notify
S4000000013	i want a list of countries	now => @org.wikidata.country => notify
S4000000014	is there countries having age of consent NUMBER_0 ?	now => ( @org.wikidata.country ) filter param:age_of_consent:Number == NUMBER_0 => notify
S4000000015	i am looking for every countries	now => @org.wikidata.country => notify
S5000000016	get a list of countries that have age of consent NUMBER_0	now => ( @org.wikidata.country ) filter param:age_of_consent:Number == NUMBER_0 => notify
S5000000017	i want some countries located in the administrative territorial entity my home .	now => ( @org.wikidata.country ) filter param:located_in_the_administrative_territorial_entity:Location == location:home => notify
S5000000018	i need to find an countries which is QUOTED_STRING_0 's part	now => ( @org.wikidata.country ) filter param:part_of:Array(String) contains~ QUOTED_STRING_0 => notify
S5000000019	find all countries that have age of consent NUMBER_0 .	now => ( @org.wikidata.country ) filter param:age_of_consent:Number == NUMBER_0 => notify
S5000000020	get a list of countries that have age of consent NUMBER_0	now => ( @org.wikidata.country ) filter param:age_of_consent:Number == NUMBER_0 => notify
S5000000021	find some countries located in the administrative territorial entity my home	now => ( @org.wikidata.country ) filter param:located_in_the_administrative_territorial_entity:Location == location:home => notify
S5000000022	i need to find an countries which is QUOTED_STRING_0 's part	now => ( @org.wikidata.country ) filter param:part_of:Array(String) contains~ QUOTED_STRING_0 => notify
S5000000023	which are countries historical gazetteer ( gov) id QUOTED_STRING_0 driving side left ?	now => ( @org.wikidata.country ) filter param:driving_side:Enum(Left,Right) == enum:Left and param:historical_gazetteer_gov_id:String =~ QUOTED_STRING_0 => notify
S5000000024	i want some countries located in the administrative territorial entity my home	now => ( @org.wikidata.country ) filter param:located_in_the_administrative_territorial_entity:Location == location:home => notify
S5000000025	i am looking for the countries driving side left which have the longest life expectancy	now => ( sort param:life_expectancy:Measure(ms) desc of ( ( @org.wikidata.country ) filter param:driving_side:Enum(Left,Right) == enum:Left ) ) [ 1 ] => notify
S5000000026	please list countries that have age of consent NUMBER_0 .	now => ( @org.wikidata.country ) filter param:age_of_consent:Number == NUMBER_0 => notify
S5000000027	i need to find an countries which is QUOTED_STRING_0 's part .	now => ( @org.wikidata.country ) filter param:part_of:Array(String) contains~ QUOTED_STRING_0 => notify
S5000000028	i need to find an countries which is QUOTED_STRING_0 's part .	now => ( @org.wikidata.country ) filter param:part_of:Array(String) contains~ QUOTED_STRING_0 => notify
S5000000029	i 'd like an countries located in the administrative territorial entity my home	now => ( @org.wikidata.country ) filter param:located_in_the_administrative_territorial_entity:Location == location:home => notify
