S4000000000	find every countries	now => @org.wikidata.country => notify
S4000000001	i 'd like to search any countries .	now => @org.wikidata.country => notify
S4000000002	find every countries	now => @org.wikidata.country => notify
S4000000003	i want to search for all countries	now => @org.wikidata.country => notify
S4000000004	find the countries with the most lasting life expectancy	now => ( sort param:life_expectancy:Measure(ms) desc of ( @org.wikidata.country ) ) [ 1 ] => notify
S4000000005	find every countries .	now => @org.wikidata.country => notify
S4000000006	i want the list of all countries	now => @org.wikidata.country => notify
S4000000007	i want to search for all countries .	now => @org.wikidata.country => notify
S4000000008	what 's the countries which have twitter username being QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:twitter_username:String =~ QUOTED_STRING_0 => notify
S4000000009	is there any countries maintained by wiki project QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:maintained_by_wikiproject:String =~ QUOTED_STRING_0 => notify
S4000000010	find every countries	now => @org.wikidata.country => notify
S4000000011	i want the list of all countries	now => @org.wikidata.country => notify
S4000000012	find every countries	now => @org.wikidata.country => notify
S4000000013	find every countries .	now => @org.wikidata.country => notify
S4000000014	i want to search for all countries	now => @org.wikidata.country => notify
S4000000015	find every countries .	now => @org.wikidata.country => notify
S5000000016	please list countries that are QUOTED_STRING_0 subclass .	now => ( @org.wikidata.country ) filter param:subclass_of:String =~ QUOTED_STRING_0 => notify
S5000000017	search for the countries with the fewest nicknames	now => ( sort param:count:Number asc of ( compute count ( param:nickname:Array(String) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
S5000000018	get a countrie wipo st.3 QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:wipo_st3:String =~ QUOTED_STRING_0 => notify
S5000000019	get a countrie wipo st.3 QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:wipo_st3:String =~ QUOTED_STRING_0 => notify
S5000000020	please list countries that are QUOTED_STRING_0 subclass .	now => ( @org.wikidata.country ) filter param:subclass_of:String =~ QUOTED_STRING_0 => notify
S5000000021	please enumerate countries wipo st.3 QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:wipo_st3:String =~ QUOTED_STRING_0 => notify
S5000000022	is there any countries wipo st.3 QUOTED_STRING_0 italian vikidia id QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:italian_vikidia_id:String =~ QUOTED_STRING_0 and param:wipo_st3:String =~ QUOTED_STRING_0 => notify
S5000000023	retrieve the countries with the most nicknames	now => ( sort param:count:Number desc of ( compute count ( param:nickname:Array(String) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
S5000000024	please list countries that are QUOTED_STRING_0 subclass	now => ( @org.wikidata.country ) filter param:subclass_of:String =~ QUOTED_STRING_0 => notify
S5000000025	search a list of countries wipo st.3 QUOTED_STRING_0	now => ( @org.wikidata.country ) filter param:wipo_st3:String =~ QUOTED_STRING_0 => notify
S5000000026	please list countries that are QUOTED_STRING_0 subclass .	now => ( @org.wikidata.country ) filter param:subclass_of:String =~ QUOTED_STRING_0 => notify
S5000000027	retrieve the countries with the most nicknames	now => ( sort param:count:Number desc of ( compute count ( param:nickname:Array(String) ) of ( @org.wikidata.country ) ) ) [ 1 ] => notify
